ProductID,ProductName,Category,Price,Stock
1,Wireless Mouse,Electronics,25.99,150
2,USB-C Charger,Electronics,19.99,200
3,Notebook 100 Pages,Stationery,2.49,500
4,Ballpoint Pen Pack,Stationery,3.99,300
5,Coffee Mug,Kitchenware,7.99,120
6,Stainless Steel Knife,Kitchenware,12.99,80
7,Cotton T-Shirt,Apparel,9.99,250
8,Jeans,Apparel,29.99,100
9,Sneakers,Footwear,49.99,75
10,Running Shoes,Footwear,59.99,60
11,LED Desk Lamp,Electronics,22.99,90
12,Wireless Keyboard,Electronics,27.99,110
13,Water Bottle 1L,Kitchenware,5.99,200
14,Backpack,Accessories,39.99,70
15,Smartphone Stand,Electronics,8.99,150
16,HDMI Cable 2m,Electronics,6.99,180
17,Desk Organizer,Stationery,14.99,95
18,Wall Clock,Home Decor,24.99,65
19,Bedside Lamp,Home Decor,29.99,50
20,Ceramic Vase,Home Decor,19.99,40
21,Wireless Earbuds,Electronics,49.99,85
22,Portable Speaker,Electronics,34.99,60
23,Leather Wallet,Accessories,19.99,130
24,Sunglasses,Accessories,14.99,140
25,Digital Watch,Accessories,59.99,55
26,Notebook 100 Pages,Stationery,2.49,500
27,Ballpoint Pen Pack,Stationery,3.99,300
28,Coffee Mug,Kitchenware,7.99,120
29,Wireless Mouse,Electronics,25.99,150
30,USB-C Charger,Electronics,19.99,200
